query_id,query,relevant_category_count,relevant_categories,candidate_count,relevant_count,bm25_ndcg@10,ltr_ndcg@10,ltr_minus_bm25
222,small loving roomtables,2,Furniture | Outdoor,77,36,0.6303943463464078,0.0,-0.6303943463464078
132,farmhouse cabinet,12,Baby & Kids | Commercial Business Furniture | Décor & Pillows | Furniture | Home Improvement | Kitchen & Tabletop | Outdoor | Pet | Sale | School Furniture and Supplies | Storage & Organization | Unknown,1260,591,0.8407559653022282,0.6127962621831762,-0.227959703119052
45,70s inspired furniture,10,Baby & Kids | Bed & Bath | Commercial Business Furniture | Décor & Pillows | Furniture | Home Improvement | Outdoor | Reception Area | Storage & Organization | Unknown,169,107,0.9851514063429595,0.7665241578325118,-0.21862724851044768
327,kohler purist brushed bronze,2,Bed & Bath | Home Improvement,116,89,1.0,0.8032285550939751,-0.19677144490602494
325,outdoor waterproof chest,6,Baby & Kids | Décor & Pillows | Furniture | Outdoor | Protection Plans | Storage & Organization,120,86,0.5714285040141098,0.40298313359773236,-0.16844537041637747
426,outdoor storage,16,Baby & Kids | Bed & Bath | Browse By Brand | Commercial Business Furniture | Contractor | Décor & Pillows | Foodservice | Furniture | Holiday Décor | Home Improvement | Kitchen & Tabletop | Outdoor | School Furniture and Supplies | Shop Product Type | Storage & Organization | Unknown,3254,1224,0.9851514063429596,0.8471779732814125,-0.13797343306154708
126,leather dining chairs,8,Baby & Kids | Commercial Business Furniture | Furniture | Outdoor | Sale | School Furniture and Supplies | Shop Product Type | Unknown,719,678,0.9476171368560405,0.8125952066495404,-0.1350219302065001
232,storage dresser,5,Baby & Kids | Foodservice | Furniture | School Furniture and Supplies | Storage & Organization,2329,574,1.0,0.90185575096193,-0.09814424903806995
39,door jewelry organizer,5,Décor & Pillows | Furniture | Kitchen & Tabletop | Storage & Organization | Unknown,149,149,1.0,0.909323291293454,-0.09067670870654598
18,chrome bathroom 4 light vanity light,5,Décor & Pillows | Home Improvement | Lighting | Sale | Unknown,1053,274,0.993216879066224,0.9470061337201198,-0.046210745346104254
425,side table with storage,6,Commercial Business Furniture | Furniture | Outdoor | Sale | Storage & Organization | Unknown,743,720,0.9548073730884988,0.9124031819349625,-0.04240419115353633
