query_id,query,query_length_tokens,query_length_bucket,query_type,candidate_count,relevant_count,exact_count,partial_count,tfidf_ndcg@10,bm25_ndcg@10,supervised_ndcg@10,ltr_ndcg@10,ltr_minus_bm25,ltr_minus_tfidf,ltr_minus_supervised,bm25_relation
222,small loving roomtables,3,medium,general,77,36,31,5,0.6303943463464078,0.6303943463464078,0.7192497327147057,0.0,-0.6303943463464078,-0.6303943463464078,-0.7192497327147057,BM25_better
132,farmhouse cabinet,2,short,short,1260,591,42,549,0.9772536427870777,0.8407559653022282,0.9878316351280036,0.6127962621831762,-0.227959703119052,-0.36445738060390154,-0.37503537294482747,BM25_better
45,70s inspired furniture,3,medium,general,169,107,20,87,0.9851514063429595,0.9851514063429595,0.9593705114757541,0.7665241578325118,-0.21862724851044768,-0.21862724851044768,-0.19284635364324232,BM25_better
327,kohler purist brushed bronze,4,medium,general,116,89,8,81,1.0,1.0,0.7983355988319087,0.8032285550939751,-0.19677144490602494,-0.19677144490602494,0.004892956262066317,BM25_better
325,outdoor waterproof chest,3,medium,general,120,86,46,40,0.43067655807339306,0.5714285040141098,0.7433003943602816,0.40298313359773236,-0.16844537041637747,-0.0276934244756607,-0.34031726076254926,BM25_better
426,outdoor storage,2,short,short,3254,1224,223,1001,1.0,0.9851514063429596,0.9783012898581854,0.8471779732814125,-0.13797343306154708,-0.15282202671858747,-0.1311233165767729,BM25_better
126,leather dining chairs,3,medium,general,719,678,241,437,1.0,0.9476171368560405,0.983096440879091,0.8125952066495404,-0.1350219302065001,-0.18740479335045956,-0.17050123422955055,BM25_better
232,storage dresser,2,short,short,2329,574,423,151,1.0,1.0,0.9957591943893841,0.90185575096193,-0.09814424903806995,-0.09814424903806995,-0.09390344342745405,BM25_better
39,door jewelry organizer,3,medium,general,149,149,31,118,1.0,1.0,0.9154690441477004,0.909323291293454,-0.09067670870654598,-0.09067670870654598,-0.006145752854246345,BM25_better
482,48 inch kitchen hood,4,medium,general,104,99,12,87,0.9810633316255292,0.9830168297915423,0.7529833860223454,0.9302822485224551,-0.052734581269087144,-0.050781083103074054,0.17729886250010973,BM25_better
18,chrome bathroom 4 light vanity light,6,long,long,1053,274,34,240,0.8428919178014227,0.993216879066224,0.9959548051864799,0.9470061337201198,-0.046210745346104254,0.10411421591869707,-0.04894867146636017,BM25_better
425,side table with storage,4,medium,general,743,720,56,664,1.0,0.9548073730884988,0.9154690441477004,0.9124031819349625,-0.04240419115353633,-0.0875968180650375,-0.0030658622127378576,BM25_better
104,flour and sugar containers,4,medium,general,179,178,12,166,0.9245051374078055,1.0,1.0,0.9664515752024124,-0.03354842479758757,0.04194643779460694,-0.03354842479758757,BM25_better
406,refrigerator with ice an water in door,7,long,long,98,77,22,55,0.8032285550939751,0.7962372977085499,0.7962372977085499,0.7695900200452496,-0.02664727766330033,-0.03363853504872549,-0.02664727766330033,BM25_better
339,ruckus chair,2,short,short,3044,104,6,98,0.9466333177850902,0.9904025836274859,0.9890862835774268,0.9638204223922388,-0.026582161235247148,0.017187104607148562,-0.025265861185188032,BM25_better
440,wood bar stools,3,medium,general,777,763,255,508,0.8205725510999616,0.7827068917847372,0.9340945832641993,0.767052670562042,-0.01565422122269522,-0.05351988053791967,-0.1670419127021573,BM25_better
436,full bed with trundle,4,medium,general,214,208,46,162,0.9520699566198683,1.0,0.9754282454131568,0.9911365418282455,-0.00886345817175449,0.03906658520837725,0.01570829641508875,BM25_better
