category,queries,candidates,relevant_candidates,ltr_ndcg@10,bm25_ndcg@10,ltr_minus_bm25
Furniture,58,25615,17549,0.7606320563937168,0.7694088787760008,-0.008776822382283963
Outdoor,46,3763,2224,0.664481781437565,0.6333899990160743,0.03109178242149079
Unknown,45,1233,630,0.6718459074825647,0.6591018626004281,0.012744044882136565
Décor & Pillows,45,1477,920,0.5029482241697532,0.5035682022539548,-0.0006199780842016518
Storage & Organization,40,1899,1008,0.46785111924907746,0.4752181786484175,-0.007367059399339959
Sale,38,108,76,0.7862946448620799,0.779795827805273,0.006498817056806806
Home Improvement,36,5296,3675,0.5409012883953377,0.511275969536007,0.029625318859330643
Kitchen & Tabletop,36,709,499,0.4071609408454291,0.4038355402396717,0.003325400605757421
Baby & Kids,34,1360,930,0.782163442590126,0.7611288297422694,0.021034612847856616
Bed & Bath,31,582,314,0.3283074831951821,0.3312949677077833,-0.0029874845126012114
Lighting,31,1077,458,0.37019319179540183,0.3784455146641766,-0.008252322868774753
Rugs,26,2424,1597,0.28846153846153844,0.28846153846153844,0.0
School Furniture and Supplies,25,352,223,0.5736252852430964,0.5308312675397846,0.04279401770331186
Commercial Business Furniture,22,251,113,0.46768877870552256,0.4794843947525316,-0.011795616047008987
Contractor,14,91,73,0.35714285714285715,0.35360147330078917,0.0035413838420679878
Pet,14,25,11,0.5,0.5,0.0
Holiday Décor,11,20,5,0.18181818181818182,0.17452007174074433,0.007298110077437495
Shop Product Type,11,69,29,0.5015009672142845,0.5256468579291962,-0.0241458907149117
Appliances,7,211,169,0.24592843168447473,0.25660532824407856,-0.01067689655960383
Protection Plans,6,11,8,0.7718216255952429,0.7718216255952429,0.0
Foodservice,5,10,4,0.4,0.33868528072345416,0.06131471927654584
Bed Accessories,5,9,5,0.2,0.2,0.0
Browse By Brand,4,4,1,0.25,0.25,0.0
Ergonomic Accessories,4,6,3,0.18948093651704953,0.18948093651704953,0.0
Sandboxes & Sand Toys,4,4,0,0.0,0.0,0.0
Institutional Furniture Parts & Accessories,2,3,2,0.5,0.5,0.0
Physical Education Equipment,2,2,1,0.5,0.5,0.0
Reception Area,2,6,6,0.8989584458539028,0.925417137423554,-0.026458691569651138
Bath Rugs & Mats,1,1,1,1.0,1.0,0.0
Display Cases,1,1,0,0.0,0.0,0.0
Furniture Cushions,1,2,2,1.0,1.0,0.0
Hooks,1,1,1,1.0,1.0,0.0
Learning Resources,1,1,0,0.0,0.0,0.0
Serving Dishes & Platters,1,1,1,1.0,1.0,0.0
Shower Curtain Rods,1,2,2,1.0,1.0,0.0
Specialty Serving,1,1,0,0.0,0.0,0.0
Water Filter Pitchers,1,1,0,0.0,0.0,0.0
