query_id,query,query_length_tokens,query_length_bucket,query_type,candidate_count,relevant_count,exact_count,partial_count,tfidf_ndcg@10,bm25_ndcg@10,supervised_ndcg@10,ltr_ndcg@10,ltr_minus_bm25,ltr_minus_tfidf,ltr_minus_supervised,bm25_relation
5,sofa with ottoman,3,medium,general,1344,1309,179,1130,0.9548073730884988,0.9452902205982653,0.9667011384129008,0.9661161606824572,0.02082594008419192,0.01130878759395837,-0.0005849777304436365,LTR_better
9,coffee table fire pit,4,medium,general,1516,1510,74,1436,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
11,ombre rug,2,short,short,1428,1420,65,1355,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
15,black 5 drawer dresser by guilford,6,long,long,613,598,2,596,0.7722693566267609,0.8593407951742595,0.8125952066495404,0.8871958738785231,0.027855078704263514,0.11492651725176217,0.07460066722898262,LTR_better
16,blk 18x18 seat cushions,4,medium,general,493,266,4,262,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
18,chrome bathroom 4 light vanity light,6,long,long,1053,274,34,240,0.8428919178014227,0.993216879066224,0.9959548051864799,0.9470061337201198,-0.046210745346104254,0.10411421591869707,-0.04894867146636017,BM25_better
19,gurney slade 56,3,medium,general,14,10,0,10,1.0,1.0,0.9933222998814618,1.0,0.0,0.0,0.006677700118538188,tie
23,stoneford end tables white and wood,6,long,long,1266,1228,0,1228,1.0,0.9667147927059907,1.0,1.0,0.0332852072940093,0.0,0.0,LTR_better
24,wood coffee table set by storage,6,long,long,2560,2100,84,2016,1.0,0.7778671768025933,0.8471779732814125,1.0,0.22213282319740668,0.0,0.15282202671858747,LTR_better
25,sunflower,1,short,exact_product_match,242,231,227,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
31,burnt orange curtains,3,medium,general,168,168,1,167,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
33,non slip shower floor tile,5,medium,general,669,385,125,260,0.8396538878217249,0.42728592111284586,0.7474427036679173,0.7926538385165374,0.3653679174036915,-0.04700004930518753,0.04521113484862005,LTR_better
39,door jewelry organizer,3,medium,general,149,149,31,118,1.0,1.0,0.9154690441477004,0.909323291293454,-0.09067670870654598,-0.09067670870654598,-0.006145752854246345,BM25_better
45,70s inspired furniture,3,medium,general,169,107,20,87,0.9851514063429595,0.9851514063429595,0.9593705114757541,0.7665241578325118,-0.21862724851044768,-0.21862724851044768,-0.19284635364324232,BM25_better
55,tollette teal outdoor rug,4,medium,general,171,170,1,169,1.0,1.0,1.0,1.0,0.0,0.0,0.0,tie
57,jordanna solid wood rocking,4,medium,general,1406,190,1,189,1.0,1.0,0.9738355749567255,1.0,0.0,0.0,0.026164425043274542,tie
68,nautical platters,2,short,short,204,168,89,79,1.0,0.0,0.7655830725422086,0.9692940899740545,0.9692940899740545,-0.03070591002594547,0.20371101743184594,LTR_better
70,annex dresser,2,short,short,504,503,1,502,0.9453409181812843,0.9453409181812843,1.0,1.0,0.054659081818715705,0.054659081818715705,0.0,LTR_better
72,fold in half table,4,medium,general,174,163,85,78,1.0,0.7291814281553078,1.0,1.0,0.27081857184469216,0.0,0.0,LTR_better
