failure_type,query_id,query,product_id,relevance_score,ltr_rank,ltr_score,bm25_rank,tfidf_rank
irrelevant_in_top10,19,gurney slade 56,34326,0,9.0,-2.187392433450431,12.0,12.0
irrelevant_in_top10,19,gurney slade 56,27303,0,10.0,-2.1927862633410395,11.0,11.0
irrelevant_in_top10,76,46 inch closet door,42271,0,2.0,0.3229472995967714,5.0,10.0
irrelevant_in_top10,76,46 inch closet door,14321,0,5.0,0.11881263390537822,1.0,12.0
irrelevant_in_top10,76,46 inch closet door,42270,0,6.0,0.10736552676005409,4.0,18.0
irrelevant_in_top10,76,46 inch closet door,12168,0,7.0,-0.12204568668957382,31.0,33.0
irrelevant_in_top10,76,46 inch closet door,9987,0,9.0,-0.14187945129473153,30.0,31.0
irrelevant_in_top10,76,46 inch closet door,41842,0,10.0,-0.18272621301585798,36.0,34.0
irrelevant_in_top10,90,filaret outdoor sofa,4064,0,1.0,-0.11813505992783974,1.0,3.0
irrelevant_in_top10,93,outdoor sectional dining,30445,0,6.0,-0.22565534075582322,1.0,10.0
irrelevant_in_top10,132,farmhouse cabinet,10243,0,2.0,0.653938431267972,42.0,5.0
irrelevant_in_top10,132,farmhouse cabinet,37207,0,3.0,0.6224923494814275,49.0,9.0
irrelevant_in_top10,132,farmhouse cabinet,18399,0,4.0,0.6077082706176422,46.0,6.0
irrelevant_in_top10,132,farmhouse cabinet,26144,0,7.0,0.5426056498829265,48.0,8.0
irrelevant_in_top10,222,small loving roomtables,22078,0,1.0,-0.2669672753956219,34.0,34.0
irrelevant_in_top10,222,small loving roomtables,24140,0,2.0,-0.5666687055378785,41.0,41.0
irrelevant_in_top10,222,small loving roomtables,5614,0,3.0,-0.7860123567543831,9.0,9.0
irrelevant_in_top10,222,small loving roomtables,12190,0,4.0,-0.8555593490011374,22.0,22.0
irrelevant_in_top10,222,small loving roomtables,40584,0,5.0,-1.1838075252977893,71.0,71.0
irrelevant_in_top10,222,small loving roomtables,31661,0,6.0,-1.1914460098148512,55.0,55.0
irrelevant_in_top10,222,small loving roomtables,6498,0,7.0,-1.1929154156608501,11.0,11.0
irrelevant_in_top10,222,small loving roomtables,6499,0,8.0,-1.1929154156608501,12.0,12.0
irrelevant_in_top10,222,small loving roomtables,14270,0,9.0,-1.193745363087682,24.0,24.0
irrelevant_in_top10,222,small loving roomtables,32667,0,10.0,-1.193745363087682,56.0,56.0
irrelevant_in_top10,232,storage dresser,31989,0,2.0,0.8637858897885731,448.0,435.0
irrelevant_in_top10,232,storage dresser,4765,0,6.0,0.3679033115857787,443.0,21.0
irrelevant_in_top10,232,storage dresser,10243,0,7.0,0.3679033115857787,444.0,22.0
irrelevant_in_top10,232,storage dresser,40894,0,9.0,0.2691782121032167,555.0,508.0
irrelevant_in_top10,309,moen 5995 arbor one,11165,0,1.0,-0.5462440827156086,2.0,3.0
irrelevant_in_top10,309,moen 5995 arbor one,13625,0,3.0,-0.6135071173044724,12.0,2.0
irrelevant_in_top10,309,moen 5995 arbor one,42593,0,4.0,-0.6550920156319098,4.0,5.0
irrelevant_in_top10,309,moen 5995 arbor one,42588,0,5.0,-0.747753185388946,7.0,4.0
