query_id,query,query_length_tokens,query_length_bucket,query_type,candidate_count,relevant_count,exact_count,partial_count,bm25_ndcg@10,ltr_ndcg@10,ltr_minus_bm25
345,oriental vanity,2,short,short,1148,757,0,757,0.0,1.0,1.0
68,nautical platters,2,short,short,204,168,89,79,0.0,0.9692940899740545,0.9692940899740545
33,non slip shower floor tile,5,medium,general,669,385,125,260,0.42728592111284586,0.7926538385165374,0.3653679174036915
481,emma headboard,2,short,short,219,211,1,210,0.6727121162120745,1.0,0.3272878837879255
72,fold in half table,4,medium,general,174,163,85,78,0.7291814281553078,1.0,0.27081857184469216
24,wood coffee table set by storage,6,long,long,2560,2100,84,2016,0.7778671768025933,1.0,0.22213282319740668
439,parsons chairs,2,short,short,3276,2432,216,2216,0.8007194814268488,1.0,0.1992805185731512
76,46 inch closet door,4,medium,general,135,55,2,53,0.6967564500834763,0.876848805629635,0.18009235554615866
93,outdoor sectional dining,3,medium,general,233,221,58,163,0.627095935777717,0.754368695647985,0.12727275987026798
309,moen 5995 arbor one,4,medium,general,72,26,0,26,0.4652347214527331,0.5714285040141098,0.10619378256137674
307,real touch roses floral arrangements in glass vase,8,long,exact_product_match,189,173,6,167,0.9154690441477004,1.0,0.08453095585229964
336,mystic swivel,2,short,short,360,343,1,342,0.91674788926343,1.0,0.08325211073657002
364,croscill ashton,2,short,short,114,45,0,45,0.9196461703481418,0.9830168297915421,0.06337065944340037
70,annex dresser,2,short,short,504,503,1,502,0.9453409181812843,1.0,0.054659081818715705
206,grill cover 73,3,medium,general,67,59,2,57,0.9664515752024124,1.0,0.03354842479758757
23,stoneford end tables white and wood,6,long,long,1266,1228,0,1228,0.9667147927059907,1.0,0.0332852072940093
15,black 5 drawer dresser by guilford,6,long,long,613,598,2,596,0.8593407951742595,0.8871958738785231,0.027855078704263514
5,sofa with ottoman,3,medium,general,1344,1309,179,1130,0.9452902205982653,0.9661161606824572,0.02082594008419192
337,iittala bowl,2,short,short,201,121,39,82,0.7926538385165374,0.8125952066495404,0.019941368133003068
153,bohemian,1,short,short,178,153,145,8,0.9897119920294625,1.0,0.010288007970537527
253,antique brass faucet,3,medium,general,117,116,5,111,0.9971876401972103,1.0,0.00281235980278971
