number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_training_time_seconds,system_attrs_tpe:relative_params:0,state
0,0.9249018133268068,2026-09-17 02:15:12.436111,2026-09-17 02:15:17.389657,0 days 00:00:04.953546,0.9910729825391243,0.016434173198775548,5,46,200,57,6.630476080356052e-07,5.197264505306827e-05,0.7085031426417804,4.951869299984537,,COMPLETE
1,0.8988988357709524,2026-09-17 02:15:17.390673,2026-09-17 02:15:32.816956,0 days 00:00:15.426283,0.873264540712136,0.02641276617721681,9,55,600,40,2.2338134488729065e-08,0.00030291125308928076,0.7223652412080488,15.424987900070846,,COMPLETE
2,0.9219702150657929,2026-09-17 02:15:32.817951,2026-09-17 02:15:52.010053,0 days 00:00:19.192102,0.9975372898168187,0.028643575720665594,4,60,800,21,1.9604659261011641e-07,8.34948286853591e-05,0.9791256846118098,19.18738400004804,,COMPLETE
3,0.9109078042939038,2026-09-17 02:15:52.011053,2026-09-17 02:16:00.100874,0 days 00:00:08.089821,0.9348980434146594,0.02159998723002594,6,80,300,53,0.01518147843320422,1.7786170269233525e-06,0.9347734391184497,8.086782000027597,,COMPLETE
4,0.911942586603834,2026-09-17 02:16:00.101880,2026-09-17 02:16:09.976852,0 days 00:00:09.874972,0.7943699020254499,0.019485676232689063,8,76,400,26,0.15060834431388595,3.34803815671973e-07,0.8195062350380206,9.873942900099792,,COMPLETE
5,0.9057301665656665,2026-09-17 02:16:09.977859,2026-09-17 02:16:17.228727,0 days 00:00:07.250868,0.9282454141774125,0.052706147437086605,4,28,300,32,1.3200139849115904,0.22893730358186112,0.8603006740685704,7.249576500034891,,COMPLETE
6,0.8993487349345831,2026-09-17 02:16:17.228727,2026-09-17 02:16:36.046412,0 days 00:00:18.817685,0.7340236154289914,0.01750077867233273,9,18,600,35,0.0024544653070159186,0.0002514662924200958,0.7849683529210395,18.813794400077313,,COMPLETE
7,0.8903472336377499,2026-09-17 02:16:36.046412,2026-09-17 02:16:57.664553,0 days 00:00:21.618141,0.7539596927213732,0.026209108284819985,10,55,600,54,3.504131866260905e-07,9.577548166228514e-06,0.7096015503910178,21.612787000020035,,COMPLETE
8,0.9017859489194647,2026-09-17 02:16:57.665559,2026-09-17 02:17:05.231321,0 days 00:00:07.565762,0.8534566806413186,0.03178463834212553,3,84,300,48,0.6440149191610928,1.8418602674842438e-08,0.928152158722792,7.56342559994664,,COMPLETE
9,0.8883402473200643,2026-09-17 02:17:05.231321,2026-09-17 02:17:26.294943,0 days 00:00:21.063622,0.9633885023914288,0.048264106758607775,8,77,600,56,3.3537758498863915e-06,3.8061017546126323e-06,0.7596833259127427,21.058399199973792,,COMPLETE
