,value
product_rows,42994.0
product_columns,16.0
unique_products,42994.0
duplicate_product_ids,0.0
query_rows,480.0
query_columns,5.0
unique_queries,480.0
duplicate_query_ids,0.0
duplicate_query_text,0.0
label_rows,233448.0
unique_judgments,233448.0
duplicate_judgment_ids,0.0
duplicate_query_product_pairs,1575.0
unknown_product_references,0.0
unknown_query_references,0.0
query_word_mean,3.38125
query_word_median,3.0
judgments_per_query_mean,486.35
judgments_per_query_median,216.5
products_per_query_mean,483.06875
products_per_query_median,215.0
